country,code,indicator,ind_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,DNK,Aquaculture production (metric tons),ER.FSH.AQUA.MT,6045,7538,7700,7824,8263,10809,10135,10638,12178,11147,9272,11910,13914,13176,12190,15188,14149,13633,16060,17118,18555,21202,21655,25363,23609,24244,24402,25851,28659,33059,41946,42098,43264,39739,42892,44730,41924,39697,42368,42670,43609,41573,32026,37772,42814,39012,37188,31168,36066,35130.4,36175,35918,34585.54,37707.2,34382.2,35866.7,36337,
Dominican Republic,DOM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,193,301,323,277,221,280,615,815,1347,3982,2206,789,677,810,748,2125,2647,3554,1944,2000,980,980,1080,1080,1230,1280,2147.9,1031.8,1485,2082.5,2185,2285,
Algeria,DZA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,141,250,274,304,368,407,150,147,300,389,369,322,322,283,250,351,454,476,417,586,368,288,405,2779.916,2163.232,1758.742,2245.77,2644.002,2192.881,2410.973,1332.99,1361,
East Asia & Pacific (excluding high income),EAP,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1094276,933573,907295,1019266,1155296,1307666,1466315,1484914,1527913,1729814,1757692,2053258,2197696,2113441,2319205,2520256,2580256,3246975,3499320,3523623,3890227,3985027,4282831,4843630,5640803,6509095,7322568,8473934,9627141,10484716,10675608,11941324,14456621.9,17658772.03,20545041,23602943,25951664,25754991,27834246,30450295.02,32655793,34502820.4,37014202,39342526,42779015.7,45698490.3,48623715.4,51507060.1,54419126.95,58373230.64,62712547.7,66844446.3,72646410.78,79180328.95,82080745.58,85650812.49,89382786.6,
Early-demographic dividend,EAR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,250769,264503,274795,283773,298833,310648,328116,345670,381834,397948,420188,450596,477248,516505,571545,605367,654852,724927,843439,939054,1087010,1210130,1339509,1512887,1630186,1770821,1894107,2191506,2435714,2627883,2791389,3090311,3382563,3533318,3770609,4115852,4530410,4686566,4889276,5430792,5564256,6123486,6603444,7231296,8564267.2,9819611.92,10882308.8,11753129.1,13643983.72,14777144.29,17091268.26,19112942.12,21659738.38,25917014.48,27681465.63,29537944.1,31366098.16,
East Asia & Pacific,EAS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1478799,1364098,1378861,1577531,1691805,1857975,2068844,2161102,2275890,2404575,2563307,2956738,3163255,3357002,3740085,3860916,4074376,4841494,5085152,5188480,5714765,5964103,6163442,6912489,7802611,8765669.206,9869866.104,10930811,12306890,13016453,13231985,14457079,17150922.9,20443822.21,23429774.96,26403155.7,28584609.38,28523354.19,30307728,32940573.84,35002204.67,36920383.02,39678739.84,41985429.06,45471759.5,48481802.13,51618326.5,54697293.29,57515792.34,61427094.23,65751945.49,69777120.65,75772370.52,82281929.48,85209921.18,88944350,92785938.32,
Europe & Central Asia (excluding high income),ECA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,14660,15380,14800,14420,18260,19130,18920,24950,20610,21550,24850,27770,33840,33353,40069,39359,44606,44410,44380,46073,47885,53731,60736,48268,63110,56882,64922,58498,383257,405669,463982,293503,258282,241702,195249,174129,154243,169330,181378,200983,218259,216023,226268.76,250980.1,264744.4,300487,302900.05,337049.8,363077.72,376815.578,388344.367,416101.595,465023.25,508658.99,526545.68,530903.35,571482.85,
Europe & Central Asia,ECS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,261934,279060,325424,333898,359826,375837,355332,359314,405595,421634,472162,462284,559283,556672,586590,639914,620374,693358,732189,707372,730339,797569,862011,887447,903543,990333,1022837,1049738,1438686,1495156,1627793,1481996,1392890,1403206,1515927,1627416,1711454,1803809,1984332,2141310,2139974,2163100,2108011.76,2244610.1,2269426.4,2257213,2329790.25,2516668.2,2491987.82,2691676.808,2707985.182,2857934.635,3069258.071,3003474.464,3185507.105,3238320.336,3257547.61,
Ecuador,ECU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,10,50,50,200,513,1030,1591,2155,3552,4113,5009,9565,12554,22016,36273,34225,30876,44339,70099,75631,71211,77730,107145,116694,87763,89096,106223,108880,134497,145790,126575,61311,57587,77636,95278,108673,138562,169588,171020,173022,219263,272520.8,309502,322455,332182,368207,426410.4,451089.9,
"Egypt, Arab Rep.",EGY,Aquaculture production (metric tons),ER.FSH.AQUA.MT,4600,5200,5200,6000,7000,6200,5900,5600,5600,5900,6000,7000,8000,9000,9000,9000,11000,13000,15000,17000,19000,21000,24000,25000,27000,41846,45500,46400,52200,60500,61916,61617,63895,51210,56603,71815,91137,85704,139389,226276,340093,342864,376296,445181,471535,539748,595030,635516,693815,705490,919585,986820,1017738,1097544,1137091,1174831,1370660,
